Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202509010811,第73回阪神大賞典(GII),4,4,1,ショウナンラプンタ,202509010811|1|ショウナンラプンタ,1,牡4,56,武豊,3:04.4,ハナ,11-11-10-8,35.2,542(+2),[西] 高野友和,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),5,5,2,ヴェローチェエラ,202509010811|2|ヴェローチェエラ,2,牡4,56,川田将雅,3:04.7,1.3/4,5-5-5-3,36.0,500(+4),[西] 須貝尚介,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),6,6,6,ゴールデンスナップ,202509010811|6|ゴールデンスナップ,6,牝5,55,浜中俊,3:05.0,1.3/4,2-4-4-6,36.3,464(+6),[西] 田中克典,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),7,7,10,ワープスピード,202509010811|10|ワープスピード,8,牡6,57,横山和生,3:05.1,1/2,2-2-3-3,36.6,506(-6),[東] 高木登,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),8,8,8,ウインエアフォルク,202509010811|8|ウインエアフォルク,7,牡8,57,古川吉洋,3:05.6,3,9-9-10-10,36.3,480(-6),[東] 根本康広,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),9,9,3,リンフレスカンテ,202509010811|3|リンフレスカンテ,3,牡7,57,松山弘平,3:06.5,5,7-6-6-3,37.7,446(-2),[西] 宮本博,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),10,10,4,コパノサントス,202509010811|4|コパノサントス,4,牡5,57,田口貫太,3:06.7,1.1/4,6-6-6-8,37.6,468(+8),[西] 梅田智之,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),11,11,11,ウィープディライト,202509010811|11|ウィープディライト,8,セ4,56,鮫島克駿,3:07.3,3.1/2,9-9-8-11,38.1,496(-4),[西] 池添学,https://db.netkeiba.com/race/202509010811/
202506020211,第99回中山記念(GII),1,1,1,シックスペンス,202506020211|1|シックスペンス,1,牡4,58,ルメール,1:44.8,,6-7-8-7,33.9,512(+10),[東] 国枝栄,https://db.netkeiba.com/race/202506020211/
202506020211,第99回中山記念(GII),2,2,4,エコロヴァルツ,202506020211|4|エコロヴァルツ,2,牡4,57,Ｍ．デム,1:44.8,ハナ,2-3-5-3,34.2,488(0),[西] 牧浦充徳,https://db.netkeiba.com/race/202506020211/
